SKU,Type,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Stock,Manage stock?,Categories,Tags,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
IPH16PM-256,simple,iPhone 16 Pro Max 256GB,1,1,visible,"iPhone 16 Pro Max với camera 48MP, chip A18 Pro.","Màn hình 6.9 inch Super Retina XDR, camera 48MP, chip A18 Pro, pin sạc nhanh 30W, iOS 18.",34990000,33490000,10,1,"Điện thoại>iPhone>iPhone 16 Series,Điện thoại chụp ảnh","iPhone,iPhone 16,điện thoại cao cấp","https://example.com/images/iphone16pm.jpg",Màu sắc,"Đen Titan,Trắng Titan",1,1,Bộ nhớ,256GB,1,1
IPH15-128,simple,iPhone 15 128GB,1,0,visible,"iPhone 15 với camera 48MP, thiết kế Dynamic Island.","Màn hình 6.1 inch Super Retina XDR, chip A16 Bionic, USB-C, iOS 17.",22990000,21990000,15,1,"Điện thoại>iPhone>iPhone 15 Series","iPhone,iPhone 15,điện thoại cao cấp","https://example.com/images/iphone15.jpg",Màu sắc,"Đen,Hồng",1,1,Bộ nhớ,128GB,1,1
S24U-512,variable,Samsung Galaxy S24 Ultra 512GB,1,1,visible,"Samsung Galaxy S24 Ultra với bút S Pen, camera 200MP.","Màn hình 6.8 inch Dynamic AMOLED 2X, camera 200MP, chip Snapdragon 8 Gen 3, pin 5000mAh, Android 14.",33490000,31990000,12,1,"Điện thoại>Samsung>Galaxy S Series,Điện thoại chụp ảnh,Điện thoại chơi game","Samsung,Galaxy S24,điện thoại cao cấp","https://example.com/images/s24ultra.jpg",Màu sắc,"Đen Phantom,Xanh Ngọc",1,1,Bộ nhớ,"512GB,1TB",1,1
S23FE-256,simple,Samsung Galaxy S23 FE 256GB,1,0,visible,"Samsung Galaxy S23 FE với camera 50MP, giá hợp lý.","Màn hình 6.4 inch Dynamic AMOLED 2X, chip Exynos 2200, pin 4500mAh, Android 13.",14990000,,20,1,"Điện thoại>Samsung>Galaxy S Series","Samsung,S23 FE,điện thoại tầm trung","https://example.com/images/s23fe.jpg",Màu sắc,"Tím,Xanh",1,1,Bộ nhớ,256GB,1,1
XIA14-256,simple,Xiaomi 14 256GB,1,0,visible,"Xiaomi 14 với camera Leica, thiết kế cao cấp.","Màn hình 6.36 inch AMOLED 120Hz, camera 50MP Leica, chip Snapdragon 8 Gen 3, pin 4610mAh.",21990000,20990000,18,1,"Điện thoại>Xiaomi>Xiaomi Series,Điện thoại chụp ảnh","Xiaomi,Xiaomi 14,điện thoại cao cấp","https://example.com/images/xiaomi14.jpg",Màu sắc,"Đen,Trắng",1,1,Bộ nhớ,256GB,1,1
REDMI-N12-128,simple,Redmi Note 12 128GB,1,0,visible,"Redmi Note 12 với pin 5000mAh, giá rẻ.","Màn hình 6.67 inch AMOLED 120Hz, camera 48MP, chip Snapdragon 4 Gen 1, pin 5000mAh.",5490000,,30,1,"Điện thoại>Xiaomi>Redmi Series,Điện thoại giá rẻ","Redmi,Note 12,điện thoại phổ thông","https://example.com/images/redminote12.jpg",Màu sắc,"Xanh,Đen",1,1,Bộ nhớ,128GB,1,1
OPPO-R11-256,simple,OPPO Reno 11 256GB,1,0,visible,"OPPO Reno 11 với camera chân dung đỉnh cao.","Màn hình 6.7 inch AMOLED 120Hz, camera 50MP, chip Dimensity 7050, pin 5000mAh.",10990000,9990000,25,1,"Điện thoại>OPPO>Reno Series,Điện thoại chụp ảnh","OPPO,Reno 11,điện thoại tầm trung","https://example.com/images/reno11.jpg",Màu sắc,"Xanh,Đen",1,1,Bộ nhớ,256GB,1,1
VIVO-V29-256,simple,Vivo V29 256GB,1,0,visible,"Vivo V29 với camera selfie 50MP.","Màn hình 6.78 inch AMOLED 120Hz, camera chính 50MP, chip Snapdragon 778G, pin 4600mAh.",11990000,,22,1,"Điện thoại>Vivo>V Series,Điện thoại chụp ảnh","Vivo,V29,điện thoại tầm trung","https://example.com/images/vivov29.jpg",Màu sắc,"Đen,Tím",1,1,Bộ nhớ,256GB,1,1
REALME-C55-128,simple,Realme C55 128GB,1,0,visible,"Realme C55 giá rẻ, pin 5000mAh.","Màn hình 6.72 inch IPS 90Hz, camera 64MP, chip Helio G88, pin 5000mAh.",4490000,,35,1,"Điện thoại>Realme>C Series,Điện thoại giá rẻ","Realme,C55,điện thoại phổ thông","https://example.com/images/realmec55.jpg",Màu sắc,"Vàng,Đen",1,1,Bộ nhớ,128GB,1,1
NOKIA-G42-128,simple,Nokia G42 128GB,1,0,visible,"Nokia G42 bền bỉ, hỗ trợ 5G.","Màn hình 6.56 inch IPS 90Hz, camera 50MP, chip Snapdragon 480+, pin 5000mAh.",5990000,,28,1,"Điện thoại>Nokia,Điện thoại giá rẻ","Nokia,G42,điện thoại phổ thông","https://example.com/images/nokiag42.jpg",Màu sắc,"Xám,Tím",1,1,Bộ nhớ,128GB,1,1
